Sample in Buffer,Sample in Window,TRIGGER,sig_AD2_IN[9:0],sig_AD1_IN[9:0],LED_IO_OBUF[2:0]
0,0,0,196,-15,2
1,1,0,132,157,2
2,2,0,-200,38,2
3,3,0,-131,13,2
4,4,0,201,-124,2
5,5,0,127,-91,2
6,6,0,-206,87,2
7,7,0,-124,-24,2
8,8,0,206,-24,2
9,9,0,120,-7,2
10,10,0,-210,79,2
11,11,0,-115,76,2
12,12,0,210,-74,2
13,13,0,108,-43,2
14,14,0,-213,43,2
15,15,0,-109,19,2
16,16,0,215,-16,2
17,17,0,102,-2,2
18,18,0,-219,-37,2
19,19,0,-99,-33,2
20,20,0,219,22,2
21,21,0,95,21,2
22,22,0,-220,-30,2
23,23,0,-93,-21,2
24,24,0,220,-11,2
25,25,0,87,34,2
26,26,0,-223,-49,2
27,27,0,-89,120,2
28,28,0,222,156,2
29,29,0,83,-127,2
30,30,0,-227,-48,2
31,31,0,-84,-80,2
32,32,0,226,-52,2
33,33,0,79,20,2
34,34,0,-230,56,2
35,35,0,-75,61,2
36,36,0,228,-123,2
37,37,0,68,55,2
38,38,0,-232,97,2
39,39,0,-69,-114,2
40,40,0,230,-27,2
41,41,0,63,86,2
42,42,0,-232,20,2
43,43,0,-61,-93,2
44,44,0,230,13,2
45,45,0,58,41,2
46,46,0,-236,-51,2
47,47,0,-57,56,2
48,48,0,235,16,2
49,49,0,51,-75,2
50,50,0,-236,50,2
51,51,0,-49,25,2
52,52,0,236,-76,2
53,53,0,42,-59,2
54,54,0,-237,93,2
55,55,0,-40,71,2
56,56,0,237,-164,2
57,57,0,35,-94,2
58,58,0,-239,200,2
59,59,0,-32,162,2
60,60,0,238,-126,2
61,61,0,25,41,2
62,62,0,-239,-27,2
63,63,0,-24,-182,2
64,64,0,238,126,2
65,65,0,19,-95,2
66,66,0,-239,-68,2
67,67,0,-19,105,2
68,68,0,237,29,2
69,69,0,16,43,2
70,70,0,-240,-9,2
71,71,0,-15,37,2
72,72,0,239,-10,2
73,73,0,11,-22,2
74,74,0,-241,-73,2
75,75,0,-11,-4,2
76,76,0,242,4,2
77,77,0,6,-99,2
78,78,0,-243,99,2
79,79,0,-5,132,2
80,80,0,241,-28,2
81,81,0,2,-79,2
82,82,0,-242,-37,2
83,83,0,0,43,2
84,84,0,237,13,2
85,85,0,-5,25,2
86,86,0,-242,-43,2
87,87,0,6,-175,2
88,88,0,241,-12,2
89,89,0,-12,148,2
90,90,0,-240,193,2
91,91,0,15,68,2
92,92,0,238,-70,2
93,93,0,-19,-193,2
94,94,0,-240,-53,2
95,95,0,23,78,2
96,96,0,239,-82,2
97,97,0,-31,-45,2
98,98,0,-235,47,2
99,99,0,32,127,2
100,100,0,234,72,2
101,101,0,-38,-25,2
102,102,0,-234,-104,2
103,103,0,39,-141,2
104,104,0,232,156,2
105,105,0,-43,48,2
106,106,0,-234,-65,2
107,107,0,46,12,2
108,108,0,232,-3,2
109,109,0,-53,88,2
110,110,0,-231,-38,2
111,111,0,53,-164,2
112,112,0,231,-58,2
113,113,0,-58,80,2
114,114,0,-229,96,2
115,115,0,59,58,2
116,116,0,227,1,2
117,117,0,-64,-2,2
118,118,0,-229,-163,2
119,119,0,68,-50,2
120,120,0,225,134,2
121,121,0,-74,-83,2
122,122,0,-225,83,2
123,123,0,77,228,2
124,124,0,222,-80,2
125,125,0,-81,-258,2
126,126,0,-222,-63,2
127,127,0,82,74,2
128,128,0,220,84,2
129,129,0,-88,-12,2
130,130,0,-223,12,2
131,131,0,91,49,2
132,132,0,219,-145,2
133,133,0,-98,-2,2
134,134,0,-220,171,2
135,135,0,102,-23,2
136,136,0,213,-24,2
137,137,0,-108,42,2
138,138,0,-213,24,2
139,139,0,109,-165,2
140,140,0,208,-67,2
141,141,0,-116,150,2
142,142,0,-208,-65,2
143,143,0,119,-29,2
144,144,0,203,46,2
145,145,0,-125,35,2
146,146,0,-202,-33,2
147,147,0,128,41,2
148,148,0,198,44,2
149,149,0,-132,-77,2
150,150,0,-198,-9,2
151,151,0,132,-19,2
152,152,0,196,38,2
153,153,0,-140,-25,2
154,154,0,-195,15,2
155,155,0,141,58,2
156,156,0,190,-48,2
157,157,0,-147,-49,2
158,158,0,-191,-47,2
159,159,0,150,1,2
160,160,0,183,-61,2
161,161,0,-153,175,2
162,162,0,-182,80,2
163,163,0,153,-290,2
164,164,0,178,156,2
165,165,0,-161,125,2
166,166,0,-176,-114,2
167,167,0,161,-54,2
168,168,0,173,-16,2
