Sample in Buffer,Sample in Window,TRIGGER,sig_AD2_IN[9:0],sig_AD1_IN[9:0],LED_IO_OBUF[2:0]
0,0,0,3,32,2
1,1,0,68,10,2
2,2,0,25,-160,2
3,3,0,-66,-35,2
4,4,0,-49,91,2
5,5,0,56,-16,2
6,6,0,54,10,2
7,7,0,-36,-15,2
8,8,0,-66,-69,2
9,9,0,1,71,2
10,10,0,67,62,2
11,11,0,32,58,2
12,12,0,-71,-24,2
13,13,0,-61,-126,2
14,14,0,65,13,2
15,15,0,84,-5,2
16,16,0,-58,-12,2
17,17,0,-100,7,2
18,18,0,41,0,2
19,19,0,109,57,2
20,20,0,-27,-103,2
21,21,0,-109,36,2
22,22,0,17,85,2
23,23,0,102,-116,2
24,24,0,-7,56,2
25,25,0,-96,114,2
26,26,0,-2,-3,2
27,27,0,85,-77,2
28,28,0,4,-111,2
29,29,0,-77,-44,2
30,30,0,-2,-57,2
31,31,0,74,29,2
32,32,0,9,140,2
33,33,0,-93,95,2
34,34,0,-20,107,2
35,35,0,120,-61,2
36,36,0,25,-144,2
37,37,0,-159,-185,2
38,38,0,-32,87,2
39,39,0,189,92,2
40,40,0,23,-159,2
41,41,0,-213,215,2
42,42,0,-19,3,2
43,43,0,224,-131,2
44,44,0,6,146,2
45,45,0,-225,-67,2
46,46,0,-4,1,2
47,47,0,207,-2,2
48,48,0,-4,18,2
49,49,0,-188,73,2
50,50,0,22,-139,2
51,51,0,161,30,2
52,52,0,-51,11,2
53,53,0,-130,-41,2
54,54,0,82,-30,2
55,55,0,99,-19,2
56,56,0,-107,8,2
57,57,0,-64,20,2
58,58,0,116,-3,2
59,59,0,35,-41,2
60,60,0,-118,150,2
61,61,0,-17,116,2
62,62,0,95,42,2
63,63,0,8,-123,2
64,64,0,-59,-149,2
65,65,0,-14,27,2
66,66,0,11,-126,2
67,67,0,25,89,2
68,68,0,26,5,2
69,69,0,-45,-156,2
70,70,0,-61,184,2
71,71,0,55,123,2
72,72,0,83,-93,2
73,73,0,-52,38,2
74,74,0,-88,77,2
75,75,0,34,-31,2
76,76,0,74,-3,2
77,77,0,0,-137,2
78,78,0,-54,-71,2
79,79,0,-44,48,2
80,80,0,29,5,2
81,81,0,97,123,2
82,82,0,-11,2,2
83,83,0,-130,-69,2
84,84,0,-7,7,2
85,85,0,144,-62,2
86,86,0,26,27,2
87,87,0,-136,91,2
88,88,0,-59,36,2
89,89,0,112,-131,2
90,90,0,101,-49,2
91,91,0,-91,50,2
92,92,0,-148,-2,2
93,93,0,75,117,2
94,94,0,169,-8,2
95,95,0,-82,-72,2
96,96,0,-164,8,2
97,97,0,90,-104,2
98,98,0,112,74,2
99,99,0,-85,150,2
100,100,0,-44,-100,2
